戦型：角交換その他
手合割：平手
先手：島　　朗
後手：行方尚史
先手年齢：41
後手年齢：30
手数----指手---------消費時間--
   1 ７六歩(77)   ( 0:00/00:00:00)
   2 ３四歩(33)   ( 0:00/00:00:00)
   3 ２六歩(27)   ( 0:00/00:00:00)
   4 ３二金(41)   ( 0:00/00:00:00)
   5 ７八金(69)   ( 0:00/00:00:00)
   6 ８四歩(83)   ( 0:00/00:00:00)
   7 ２五歩(26)   ( 0:00/00:00:00)
   8 ８八角成(22) ( 0:00/00:00:00)
   9 同　銀(79)   ( 0:00/00:00:00)
  10 ２二銀(31)   ( 0:00/00:00:00)
  11 ７七銀(88)   ( 0:00/00:00:00)
  12 ３三銀(22)   ( 0:00/00:00:00)
  13 ３八銀(39)   ( 0:00/00:00:00)
  14 ６二銀(71)   ( 0:00/00:00:00)
  15 ６八玉(59)   ( 0:00/00:00:00)
  16 ６四歩(63)   ( 0:00/00:00:00)
  17 ２七銀(38)   ( 0:00/00:00:00)
  18 ６三銀(62)   ( 0:00/00:00:00)
  19 ２六銀(27)   ( 0:00/00:00:00)
  20 １四歩(13)   ( 0:00/00:00:00)
  21 ３六歩(37)   ( 0:00/00:00:00)
  22 ４四歩(43)   ( 0:00/00:00:00)
  23 ３五歩(36)   ( 0:00/00:00:00)
  24 ５二金(61)   ( 0:00/00:00:00)
  25 ３四歩(35)   ( 0:00/00:00:00)
  26 同　銀(33)   ( 0:00/00:00:00)
  27 ３七銀(26)   ( 0:00/00:00:00)
  28 ４三金(52)   ( 0:00/00:00:00)
  29 ２四歩(25)   ( 0:00/00:00:00)
  30 同　歩(23)   ( 0:00/00:00:00)
  31 同　飛(28)   ( 0:00/00:00:00)
  32 ２三歩打     ( 0:00/00:00:00)
  33 ２八飛(24)   ( 0:00/00:00:00)
  34 ５四銀(63)   ( 0:00/00:00:00)
  35 ５八金(49)   ( 0:00/00:00:00)
  36 ６五歩(64)   ( 0:00/00:00:00)
  37 ４六歩(47)   ( 0:00/00:00:00)
  38 ４二玉(51)   ( 0:00/00:00:00)
  39 １六歩(17)   ( 0:00/00:00:00)
  40 ４五歩(44)   ( 0:00/00:00:00)
  41 ４八飛(28)   ( 0:00/00:00:00)
  42 ４六歩(45)   ( 0:00/00:00:00)
  43 同　銀(37)   ( 0:00/00:00:00)
  44 ４五歩打     ( 0:00/00:00:00)
  45 ３七銀(46)   ( 0:00/00:00:00)
  46 ２四歩(23)   ( 0:00/00:00:00)
  47 ７九玉(68)   ( 0:00/00:00:00)
  48 ３五歩打     ( 0:00/00:00:00)
  49 ３六歩打     ( 0:00/00:00:00)
  50 同　歩(35)   ( 0:00/00:00:00)
  51 同　銀(37)   ( 0:00/00:00:00)
  52 ３五歩打     ( 0:00/00:00:00)
  53 ４七銀(36)   ( 0:00/00:00:00)
  54 ３三玉(42)   ( 0:00/00:00:00)
  55 ５六歩(57)   ( 0:00/00:00:00)
  56 ８五歩(84)   ( 0:00/00:00:00)
  57 ８八玉(79)   ( 0:00/00:00:00)
  58 ２三玉(33)   ( 0:00/00:00:00)
  59 ３六歩打     ( 0:00/00:00:00)
  60 同　歩(35)   ( 0:00/00:00:00)
  61 同　銀(47)   ( 0:00/00:00:00)
  62 ３五歩打     ( 0:00/00:00:00)
  63 ５五歩(56)   ( 0:00/00:00:00)
  64 ３六歩(35)   ( 0:00/00:00:00)
  65 ５四歩(55)   ( 0:00/00:00:00)
  66 ４四角打     ( 0:00/00:00:00)
  67 ２五歩打     ( 0:00/00:00:00)
  68 同　歩(24)   ( 0:00/00:00:00)
  69 ２四歩打     ( 0:00/00:00:00)
  70 同　玉(23)   ( 0:00/00:00:00)
  71 ６八角打     ( 0:00/00:00:00)
  72 ３五銀打     ( 0:00/00:00:00)
  73 ４七金(58)   ( 0:00/00:00:00)
  74 ３三玉(24)   ( 0:00/00:00:00)
  75 ５六金(47)   ( 0:00/00:00:00)
  76 ５四金(43)   ( 0:00/00:00:00)
  77 ５五歩打     ( 0:00/00:00:00)
  78 同　金(54)   ( 0:00/00:00:00)
  79 同　金(56)   ( 0:00/00:00:00)
  80 同　角(44)   ( 0:00/00:00:00)
  81 ５八飛(48)   ( 0:00/00:00:00)
  82 １九角成(55) ( 0:00/00:00:00)
  83 ５三飛成(58) ( 0:00/00:00:00)
  84 ２四玉(33)   ( 0:00/00:00:00)
  85 ５一龍(53)   ( 0:00/00:00:00)
  86 ２二金(32)   ( 0:00/00:00:00)
  87 ４四金打     ( 0:00/00:00:00)
  88 ２三金打     ( 0:00/00:00:00)
  89 ３四金(44)   ( 0:00/00:00:00)
  90 同　金(23)   ( 0:00/00:00:00)
  91 ２三歩打     ( 0:00/00:00:00)
  92 同　玉(24)   ( 0:00/00:00:00)
  93 ３五角(68)   ( 0:00/00:00:00)
  94 同　金(34)   ( 0:00/00:00:00)
  95 ４四銀打     ( 0:00/00:00:00)
  96 ２四角打     ( 0:00/00:00:00)
  97 ５三龍(51)   ( 0:00/00:00:00)
  98 ３三金打     ( 0:00/00:00:00)
  99 ４二銀打     ( 0:00/00:00:00)
 100 ４六馬(19)   ( 0:00/00:00:00)
 101 ３三銀成(42) ( 0:00/00:00:00)
 102 同　桂(21)   ( 0:00/00:00:00)
 103 ５五銀打     ( 0:00/00:00:00)
 104 ５七馬(46)   ( 0:00/00:00:00)
 105 ６八金打     ( 0:00/00:00:00)
 106 ３四金(35)   ( 0:00/00:00:00)
 107 ５七金(68)   ( 0:00/00:00:00)
 108 同　角成(24) ( 0:00/00:00:00)
 109 ４三銀(44)   ( 0:00/00:00:00)
 110 ６九銀打     ( 0:00/00:00:00)
 111 ３四銀成(43) ( 0:00/00:00:00)
 112 同　玉(23)   ( 0:00/00:00:00)
 113 ６八金打     ( 0:00/00:00:00)
 114 ７八銀成(69) ( 0:00/00:00:00)
 115 同　玉(88)   ( 0:00/00:00:00)
 116 ３五馬(57)   ( 0:00/00:00:00)
 117 ４三銀打     ( 0:00/00:00:00)
 118 ２三玉(34)   ( 0:00/00:00:00)
 119 ４四銀(55)   ( 0:00/00:00:00)
 120 ２六馬(35)   ( 0:00/00:00:00)
 121 ４二角打     ( 0:00/00:00:00)
 122 ２四銀打     ( 0:00/00:00:00)
 123 ３四銀成(43) ( 0:00/00:00:00)
 124 投了         ( 0:00/00:00:00)

まで123手で先手の勝ち
