戦型：矢倉
手合割：平手
先手：田中寅彦
後手：島　　朗
先手年齢：47
後手年齢：41
手数----指手---------消費時間--
   1 ７六歩(77)   ( 0:00/00:00:00)
   2 ３四歩(33)   ( 0:00/00:00:00)
   3 ２六歩(27)   ( 0:00/00:00:00)
   4 ３二金(41)   ( 0:00/00:00:00)
   5 ５八金(49)   ( 0:00/00:00:00)
   6 ８四歩(83)   ( 0:00/00:00:00)
   7 ６六歩(67)   ( 0:00/00:00:00)
   8 ４二銀(31)   ( 0:00/00:00:00)
   9 ６八銀(79)   ( 0:00/00:00:00)
  10 ６二銀(71)   ( 0:00/00:00:00)
  11 ４八銀(39)   ( 0:00/00:00:00)
  12 ４一玉(51)   ( 0:00/00:00:00)
  13 ５六歩(57)   ( 0:00/00:00:00)
  14 ５四歩(53)   ( 0:00/00:00:00)
  15 ６七金(58)   ( 0:00/00:00:00)
  16 ７四歩(73)   ( 0:00/00:00:00)
  17 ７八金(69)   ( 0:00/00:00:00)
  18 ５二金(61)   ( 0:00/00:00:00)
  19 ６九玉(59)   ( 0:00/00:00:00)
  20 ３三銀(42)   ( 0:00/00:00:00)
  21 ３六歩(37)   ( 0:00/00:00:00)
  22 ３一角(22)   ( 0:00/00:00:00)
  23 ７七銀(68)   ( 0:00/00:00:00)
  24 ４四歩(43)   ( 0:00/00:00:00)
  25 ７九角(88)   ( 0:00/00:00:00)
  26 ４三金(52)   ( 0:00/00:00:00)
  27 １六歩(17)   ( 0:00/00:00:00)
  28 ６四角(31)   ( 0:00/00:00:00)
  29 ３七銀(48)   ( 0:00/00:00:00)
  30 ３一玉(41)   ( 0:00/00:00:00)
  31 １五歩(16)   ( 0:00/00:00:00)
  32 ８五歩(84)   ( 0:00/00:00:00)
  33 ６八角(79)   ( 0:00/00:00:00)
  34 ２二玉(31)   ( 0:00/00:00:00)
  35 ７九玉(69)   ( 0:00/00:00:00)
  36 ７三銀(62)   ( 0:00/00:00:00)
  37 ４六銀(37)   ( 0:00/00:00:00)
  38 ８四銀(73)   ( 0:00/00:00:00)
  39 ３七桂(29)   ( 0:00/00:00:00)
  40 ７五歩(74)   ( 0:00/00:00:00)
  41 ６五歩(66)   ( 0:00/00:00:00)
  42 ４二角(64)   ( 0:00/00:00:00)
  43 ３五歩(36)   ( 0:00/00:00:00)
  44 ７六歩(75)   ( 0:00/00:00:00)
  45 同　金(67)   ( 0:00/00:00:00)
  46 ７五銀(84)   ( 0:00/00:00:00)
  47 ３四歩(35)   ( 0:00/00:00:00)
  48 同　銀(33)   ( 0:00/00:00:00)
  49 ３五歩打     ( 0:00/00:00:00)
  50 ７二飛(82)   ( 0:00/00:00:00)
